student,exam
0,15
0,30
0,95
1,33
1,121
1,176
2,14
2,19
2,109
2,122
2,160
3,63
3,70
3,134
3,138
4,15
4,111
4,180
4,193
5,74
5,87
5,112
5,158
6,12
6,60
6,126
7,11
7,29
7,101
8,4
8,55
8,72
8,94
8,102
8,141
9,115
9,157
9,192
10,19
10,54
10,111
11,86
11,99
11,102
12,32
12,55
12,58
12,189
13,78
13,112
13,147
13,182
14,92
14,93
14,145
15,139
15,145
15,157
15,184
16,49
16,68
16,110
16,127
16,148
16,153
17,57
17,137
17,170
17,184
18,18
18,39
18,57
18,62
18,161
18,186
19,23
19,62
19,84
19,135
19,148
20,27
20,73
20,124
21,11
21,30
21,71
21,74
22,50
22,100
22,138
22,147
22,178
22,180
23,40
23,88
23,107
23,116
23,166
24,13
24,60
24,114
24,125
24,152
25,28
25,33
25,150
25,176
26,56
26,87
26,166
26,181
27,0
27,30
27,32
27,79
27,165
28,147
28,179
28,192
29,39
29,154
29,182
30,20
30,51
30,72
30,146
30,152
30,156
31,32
31,71
31,187
32,11
32,29
32,48
32,140
32,178
33,24
33,93
33,134
33,170
33,194
34,3
34,56
34,59
34,114
34,122
35,16
35,102
35,152
36,2
36,28
36,106
36,110
36,135
36,137
37,10
37,149
37,160
38,7
38,13
38,29
38,59
38,133
38,170
39,16
39,39
39,189
40,27
40,79
40,93
40,158
40,198
41,3
41,67
41,143
41,161
41,163
42,67
42,109
42,177
42,189
43,3
43,60
43,124
44,0
44,48
44,176
45,6
45,73
45,154
45,157
46,78
46,89
46,189
46,198
46,199
47,57
47,70
47,134
48,5
48,25
48,128
48,152
49,41
49,134
49,159
50,94
50,107
50,116
50,153
50,158
50,180
51,7
51,13
51,72
51,97
51,129
52,14
52,22
52,154
52,165
52,177
52,184
53,27
53,56
53,170
53,174
53,188
54,19
54,49
54,133
54,148
55,47
55,56
55,122
55,157
55,181
56,19
56,43
56,98
56,165
56,179
57,64
57,81
57,97
57,195
58,65
58,83
58,118
58,125
58,162
59,164
59,190
59,197
60,52
60,74
60,87
60,105
61,42
61,81
61,144
61,193
62,46
62,47
62,80
62,117
63,13
63,15
63,24
63,29
63,153
63,183
64,50
64,65
64,70
64,76
64,158
64,189
65,11
65,14
65,45
65,67
65,187
66,154
66,159
66,165
66,195
67,21
67,27
67,83
67,120
67,173
68,10
68,109
68,119
69,39
69,50
69,86
69,135
70,161
70,163
70,168
71,9
71,28
71,38
71,94
71,184
72,41
72,64
72,104
72,118
72,128
72,163
73,79
73,131
73,161
73,169
73,170
74,110
74,144
74,152
75,27
75,42
75,193
75,196
76,0
76,10
76,15
76,81
76,103
77,40
77,61
77,135
77,199
78,24
78,94
78,106
78,137
78,141
78,151
79,7
79,42
79,50
79,71
79,117
79,135
80,4
80,64
80,73
80,79
80,91
80,106
81,68
81,72
81,127
81,164
82,36
82,56
82,75
82,112
82,148
83,28
83,93
83,123
83,126
84,153
84,168
84,179
84,187
85,44
85,87
85,110
85,117
85,129
86,85
86,100
86,102
86,121
86,134
86,146
87,45
87,65
87,106
87,108
87,128
87,184
88,12
88,104
88,128
88,155
88,180
89,45
89,104
89,157
89,198
90,28
90,71
90,136
90,183
91,7
91,52
91,110
91,118
91,127
91,154
92,131
92,166
92,198
93,57
93,71
93,151
94,4
94,12
94,107
95,11
95,19
95,24
95,102
