algorithm,evaluations,iterations,accepted_moves,objective
constructive,1,0,0,15105067.0
first_improvement,1,0,0,15105067.0
first_improvement,2,1,1,14804983.0
first_improvement,3,2,2,14605194.0
first_improvement,4,3,3,14505140.0
first_improvement,5,4,4,14405121.0
first_improvement,18,5,5,14405113.0
first_improvement,20,6,6,14405106.0
first_improvement,24,7,7,14305187.0
first_improvement,25,8,8,14305105.0
first_improvement,26,9,9,14105036.0
first_improvement,27,10,10,14004898.0
first_improvement,28,11,11,13804984.0
first_improvement,29,12,12,13504932.0
first_improvement,36,13,13,13304954.0
first_improvement,39,14,14,13204902.0
first_improvement,40,15,15,13204826.0
first_improvement,42,16,16,13104729.0
first_improvement,46,17,17,13004737.0
first_improvement,47,18,18,12804806.0
first_improvement,72,19,19,12804767.0
first_improvement,73,20,20,12704796.0
first_improvement,81,21,21,12704785.0
first_improvement,85,22,22,12604746.0
first_improvement,86,23,23,12504715.0
first_improvement,87,24,24,12404737.0
first_improvement,88,25,25,12304802.0
first_improvement,90,26,26,12204808.0
first_improvement,94,27,27,12204744.0
first_improvement,96,28,28,12104726.0
first_improvement,103,29,29,12004737.0
first_improvement,104,30,30,12004703.0
first_improvement,108,31,31,11904775.0
first_improvement,129,32,32,11904750.0
first_improvement,139,33,33,11804760.0
first_improvement,193,34,34,11704718.0
first_improvement,201,35,35,11704672.0
first_improvement,215,36,36,11604773.0
first_improvement,218,37,37,11504712.0
first_improvement,240,38,38,11504707.0
first_improvement,252,39,39,11504656.0
first_improvement,258,40,40,11404724.0
first_improvement,292,41,41,11404717.0
first_improvement,293,42,42,11404699.0
first_improvement,307,43,43,11404694.0
first_improvement,312,44,44,11404672.0
first_improvement,464,45,45,11404656.0
first_improvement,466,46,46,11404649.0
first_improvement,469,47,47,11404630.0
first_improvement,470,48,48,11204665.0
first_improvement,533,49,49,11204656.0
first_improvement,534,50,50,11204621.0
first_improvement,535,51,51,11204604.0
first_improvement,537,52,52,11204582.0
first_improvement,548,53,53,11204558.0
first_improvement,549,54,54,11204534.0
first_improvement,550,55,55,11104560.0
first_improvement,551,56,56,11104509.0
first_improvement,555,57,57,11104507.0
first_improvement,557,58,58,11104496.0
first_improvement,559,59,59,11104476.0
first_improvement,610,60,60,11104468.0
first_improvement,628,61,61,11104446.0
first_improvement,629,62,62,11104391.0
first_improvement,661,63,63,11104366.0
first_improvement,664,64,64,11104357.0
first_improvement,743,65,65,11104353.0
first_improvement,747,66,66,11104269.0
first_improvement,750,67,67,11104177.0
first_improvement,755,68,68,11104137.0
first_improvement,756,69,69,11004114.0
first_improvement,757,70,70,10904167.0
first_improvement,784,71,71,10904162.0
first_improvement,838,72,72,10904135.0
first_improvement,889,73,73,10804170.0
first_improvement,890,74,74,10804159.0
first_improvement,896,75,75,10804144.0
first_improvement,1000,76,76,10704185.0
first_improvement,1051,77,77,10704177.0
first_improvement,1072,78,78,10704161.0
first_improvement,1108,79,79,10604240.0
first_improvement,1131,80,80,10604232.0
first_improvement,1135,81,81,10604229.0
first_improvement,1159,82,82,10604195.0
first_improvement,1214,83,83,10604187.0
first_improvement,1215,84,84,10604149.0
first_improvement,1268,85,85,10504286.0
first_improvement,1269,86,86,10504269.0
first_improvement,1271,87,87,10504267.0
first_improvement,1310,88,88,10504257.0
first_improvement,1312,89,89,10404328.0
first_improvement,1317,90,90,10404306.0
first_improvement,1369,91,91,10404271.0
first_improvement,1370,92,92,10304363.0
first_improvement,1371,93,93,10304344.0
first_improvement,1413,94,94,10304322.0
first_improvement,1437,95,95,10204392.0
first_improvement,1536,96,96,10004437.0
first_improvement,1612,97,97,10004426.0
first_improvement,1666,98,98,10004386.0
first_improvement,1670,99,99,10004359.0
first_improvement,1722,100,100,10004334.0
first_improvement,1855,101,101,10004315.0
first_improvement,1874,102,102,10004300.0
first_improvement,1951,103,103,10004278.0
first_improvement,1957,104,104,10004261.0
first_improvement,2045,105,105,10004251.0
first_improvement,2071,106,106,10004232.0
first_improvement,2107,107,107,10004224.0
first_improvement,2122,108,108,10004211.0
first_improvement,2127,109,109,9904241.0
first_improvement,2187,110,110,9904198.0
first_improvement,2208,111,111,9804191.0
first_improvement,2218,112,112,9804144.0
first_improvement,2234,113,113,9704183.0
first_improvement,2344,114,114,9604210.0
first_improvement,2394,115,115,9504286.0
first_improvement,2696,116,116,9504254.0
first_improvement,2697,117,117,9504175.0
first_improvement,2701,118,118,9504148.0
first_improvement,2781,119,119,9504138.0
first_improvement,2857,120,120,9504125.0
first_improvement,2908,121,121,9404117.0
first_improvement,3044,122,122,9304242.0
first_improvement,3051,123,123,9304234.0
first_improvement,3223,124,124,9304199.0
first_improvement,3274,125,125,9304154.0
first_improvement,3302,126,126,9204234.0
first_improvement,3311,127,127,9204214.0
first_improvement,3357,128,128,9204209.0
first_improvement,3461,129,129,9204206.0
first_improvement,3502,130,130,9204193.0
first_improvement,3507,131,131,9104218.0
first_improvement,3611,132,132,9104179.0
first_improvement,3648,133,133,9004201.0
first_improvement,3712,134,134,9004188.0
first_improvement,4012,135,135,9004145.0
first_improvement,4039,136,136,9004132.0
first_improvement,4079,137,137,8904258.0
first_improvement,4178,138,138,8904196.0
first_improvement,4228,139,139,8904155.0
first_improvement,4281,140,140,8904142.0
first_improvement,4752,141,141,8904125.0
first_improvement,4805,142,142,8904109.0
first_improvement,4850,143,143,8904094.0
first_improvement,5174,144,144,8904090.0
first_improvement,5237,145,145,8904083.0
first_improvement,5270,146,146,8804110.0
first_improvement,5407,147,147,8804095.0
first_improvement,5490,148,148,8804091.0
first_improvement,5556,149,149,8704113.0
first_improvement,5578,150,150,8704112.0
first_improvement,5663,151,151,8604211.0
first_improvement,5714,152,152,8604205.0
first_improvement,5826,153,153,8604148.0
first_improvement,6078,154,154,8604144.0
first_improvement,6307,155,155,8504118.0
first_improvement,6443,156,156,8504109.0
first_improvement,6444,157,157,8504099.0
first_improvement,6508,158,158,8404107.0
first_improvement,6594,159,159,8404068.0
first_improvement,6599,160,160,8304106.0
first_improvement,6608,161,161,8304097.0
first_improvement,6867,162,162,8304078.0
first_improvement,6995,163,163,8204101.0
first_improvement,7047,164,164,8204078.0
first_improvement,7280,165,165,8204077.0
first_improvement,7281,166,166,8204065.0
first_improvement,7318,167,167,8104100.0
first_improvement,7396,168,168,8004099.0
first_improvement,7572,169,169,8004098.0
first_improvement,7624,170,170,8004060.0
first_improvement,7634,171,171,8004046.0
first_improvement,7681,172,172,7904082.0
first_improvement,7723,173,173,7904069.0
first_improvement,7803,174,174,7804131.0
first_improvement,7956,175,175,7804105.0
